label;text
0; Amazing game
0;" the game is good providing you dont make a foolish mistake like accidently delete a core road or power/water supply whilst you are in debt - incredibly difficult to recover as there is no ""undo"" and you cannot then replace the item until you are back in the green $$$. constant unhappy city due to my mistake and it takes me HOURS to recover as the debt just spirals out of control. ive made this mistake twice now and it is just really punishing for such a simple error. no longer enjoying skylines and now looking for a way to cheat/mod to overcome this."
0;" As someone who struggles a lot with anxiety, I have to say that this game was the best accidental discovery I have made this year thus far.This game not only allows for you to freely exercise one's creativity on a blank canvas: It also allows for backtracks (as long as you save your city :p). Whatever that you imagine, this game allows you to put into reality and see how extreme you can bring it.In my short time that I have played this game, I have found myself hooked because of how well it takes my mind off of worrying matters. This game is like my anchor.However, it does have one bad thing about it -- DLCs. Just to unlock different features requires you to purchase so many DLCs. Quite... microtransaction-esque.But great game overall!"
2; It needs more lane my traffic is crumbling
0; best city builder game ever
0; very good game
0; best way to end your day
0; you can bulldoze peoples houses if they complain about taxes 10/10 would reduce the population again
1;" Only played game for a little over an hour. After that session, I have not been able to play the game again. Steam says it running, but I do not see the game running in my Task manager & steam refusing to provide a refund, as the application shows that I have played for then 2 hours. Steam has been no help on trying to get help."
0; City Building at its finest.
0; A great city builder where you can turn poop into infinite power
0; Recreated my own suburb. Had the same problems in game and in real life.
0;" Simple premise but hard to master, it is awesome and fun if you like watching an expanding city at the touch of a few buttons"
0; good
0; i like it
0; so much better than console omg i love build city
0;" built a city with only trains as method of transport, i like trains."
0; Little bit too hard for me but i like it!
0; Its simply one of the best city building games out there. Both the developers and the modding community have worked so hard to make this game become much more than anyone could have originally imagined.
0; its fun
0; very good the controls are wierd tho
0; City game!
1;" you know what, i was waiting sreen loading 2 hour, yes it's 2 fk hour and i cant login this game, fk this game"
0;" This game is incredibly addictive once you grasp the basic rules. Despite the trial and error, it has this way of captivating you and keeping you hooked. You won't even realize that you've spent 5 hours just navigating through it, lol."
0; this is the best i played 166 min when i frist got it its the best city game
2; I love Paradox but they seriously need to chill on the ludicrously overpriced DLC's. At least make a pack of them for a reasonable price. Seriously this game is trapped behind a pay wall at this point. Otherwise great game ruined by greed.
0;" Very good game, I just hope you have space on your C drive"
0; great.
0; the coolest game i've ever played
1; I built a mega cool city in one day but the next day when I tried to play it did not save
2;" The best city builder to date. And if you add to this a huge number of DLCs, as well as workshop with a lot of ideas from community - you will have everything that you need to build the city of your dreams.PS - waiting for CS2 I hope it will be no worse than the first part"
0; good game but wait for 2nd one.
0; I love cities skylines
0;" The simulation is really forgiving compared to SC4, with some basic city planning concepts you can manage 30k-50k city within a few hours. DLC is kind of expensive, but not necessary. Power delivery is still kind of confusing."
0; this is a negative review in preparation for cities skylines 2
0; I like the game play
