label,text
0, can't end a trip with 0% damage with friends
0, Very fun game to play with friends. The dlcs are too expensive tho and you are kinda limited without them.
0, I just purchase the game from steam and install the ETS2 from steam
1,But when I am running the game logon screen open and when I try to continue game the game close automatically
0,Please resolve the issue or refund my money
0, Good
0, When this awesome game was on sale I bought every DLC for my VR quest 2 this game has some much VR potential and I hope the developers can spend sometime on improving the game graphic in VR perspective
0, It is already very good driving in VR mode so enjoyable when you have a wheel pedal and gear box! Please just spend some efforts on making it the best VR game!
0, i sleep in the truck
0, nice and realistic game with some awesome simulation.
0, a
0," I loved the game. When ever I feel stressed, this is my go-to game!!!"
0, Good game for chill !!!
0, Perfect game for chilling
0, Even if you don't like cars game like me I highly recomanded is really entartaining and relaxing
0, VERY GREAT GAME
0, gooddd
0, vewy guud game
0," “Roses are red, violets are blue, the best open world game is Euro Truck Simulator 2.” – PC Gamer on Twitter"
0, I don't know why this game is so addicting
0, I really don't
0, But you can get it + all the map DLC for like 45 bucks on the summer sale and it's definitely worth the price
0, I resisted playing this game for the longest time when a bunch of my boys were playing but the moment I picked it up I was hooked
0,Drive trucks
0, Buy new trucks
0, Buy trailers
0, Upgrade your trailers
0, Take on bigger jobs
0, Hire drivers to work for you driving your old trucks
0,"There is built in radio streaming that connects with a bunch of live radio stations in europe, including an old school 140 BPM UK dubstep station"
0," It's not hyper-realistic but you can tweak the sim settings quite a bit, there is a pretty solid modding community with built in steam workshop support, and the locations are surprisingly pretty realistic"
0, Driving through eastern europe reminds me of my childhood trips to visit family in Poland
0, 10 years old game but still rocks!
0, What else can I say other than this is truly one of the games you have to experience
0," Something about driving down a French highway, listening to music, and just enjoying life, is great"
0," Worth the price, deal or not"
0, Quite a big map for base game
0, i once went into the barrier and i almost jumped out of the chair
0, weri good
0, truckz
0, hot girls
0, realistic
0," Listening to free bird while going 160 kph in a machine that weighs 5 tonnes of which i dont have a license for can only go good, right?"
0," without mods this game is no fun,good thing that you can download mods"
0, i like
0," after years of failing to learn, this game though me not to speed"
0, great game to listen to some tunes to
0, Endless hours of playtime
0, decent game but the traffic is bad ngl
0, Reached a looping speed of 1008696km/h after bumping in my friends on a sandy hill.
0, good good vvery good Now bye
0," once i bought this game for 5 euros, i played it, enjoyed it, after some months, it was obviously boring, now i sometimes start the game, drive around, drift, tune and max out my trucks"
0, very good game
0," Not much to say, other than, this game is awesome!"
0, The game is kinda ni*er but l like it
0,theres trucks l thought its game for tanks
0,also l really like that theres mods for the game but they are nigerian
0,l recommended buying on the map edition for more nigerian expirence
0,recomending it to buy it only in sales cuz the nigerian government is watching every player who log in 
0,you need to be becarful
0," Really smooth game, I do not have a good Laptop to game on but I loved it, worth the time"
0,"Yes, have installed couple of mods to enhance it"
0,Overall 8/10 nothing is perfect but can always be better with ittybitty compromise
0," Game will make you dissapear from real life, eventually you will lose all your friends and become poor beacuse of the DLCs"
0, I can confirm that
0," amazing, would recommend this to anyone wanting to kill some time. looking forward to spending more time playing."
0, I can't stop jacking
0, I'm serious
0, I see a truck and I have to jack it
0," Any opportunity to jack it, i do"
0, I love when the engine sound makes me jack it
0," honestly, i'm addicted to jacking it"
1, i cant play why
0, i like all aspects ofthe game
0, My girlfriend's father who plays this game: No not like this!
0," its a very solid, yet relaxing ""travel"" game"
0, You can adjust it the way you want it to fit your gameplay style
0, DLCs are very nice and you can choose the ones you need
0, Its very hard to believe it was released on 2012
0," It still gets updates with content, including free content and location reworks"
0,"Wish it had visualisation of physical damage to the truck itself and access to common roads, ability to use smaller trucks and such"
0,"As a trucker, you are only allowed to use highways and roadways, not being allowed to use public roads fitting smaller cars (until if its not the only way to the warehouse you are currently transporting to)"
0,Someday i will give a try to american truck simulator
0, Very realistic environment and easy to learn if you don't have much background knowledge on European trucking.
0, Play with Mod's
0, I love driving big truck around Europe
0, Drive trucks highway roads europe very quality good
0, Amazing Game. Definitely recommend
