True_Label,Predicted_Label,Text
0,1," this game is good and life changer i was on street then there was a leitplanke and i was hugging it and then my big car was flying because of gravity but overall game is good and i got lung cancer stage 4,5"
0,0, it's fun
0,0," this game is incredible. it's so relaxing to jump in one of these rigs and just drive and just look at all the scenery there is. the physics are realistic and each truck is beautifully detailed in just about every way. i can't really say too many negatives exist, except the traffic a.i. acts annoying at times, but i say that just makes it even more realistic to life standards of course. if you're looking for a good truck sim, then this is your thing right here. looking forward to the next dlc."
0,0, truck goes 150km/h and we chill!
0,0," great game for everybody who like economics of the truck-logistics company and/or free truck driving. have been playing ats for a while (almost finish it = more than 250 drivers) and i'm now trying the new challenge - ets2. different feeling, narrow roads, more challenging special transports, etc.highly recommend!"
0,0, great success
0,2, great game especially with friends through truckersmp. a calm and relaxing game for every moment!
1,1, buggy and sometimes unplayable experience while running nativily in the linux port
0,0, good..
0,0, best truck game 10/10
0,0," amazing game, i recommend it to you if you are a fan of trucks."
0,0," i drove automatic only, but after playing this game, i've mastered manual. thanks scs software"
0,0," u can dowload mods and travel to europe, so cool"
0,2, cumpar golf 3
0,0, i think this is a fairly popular game but i enjoy it anyways. i do recomend!
0,0, truck game good
0,2, realistic driving experience
0,0," great game, buy with confidence!"
0,0, it is a great game.btw if you want to download mods you should download them from modland.com because on workshop it is kinda hard to find the perfect ones.
0,2," just keep gething better and better, now with people cycling on cycle paths in some cities"
0,0," this game is literarily perfect, except maybe the fact that dlcs are quite expensive.what i liked was:1. graphics- absolutely stunning for a game made back in 20122 the radio- it blows my mind how many radios there are in this game which you can vibe to.3 realism- no wonder some people say this game is hard it's really easy to get a penalty for anything to be honest(speeding, red lights, etc)4 money system- as frustrating as it might be, its very well done, making you work every day if you did decide to take a loan, which i think some people did."
0,2, very relaxing and high quality. i recommend.
0,0, best simulator yes
0,0," it's so good, that when i close my eyes, the only thing i see is me driving in first person"
0,0, i love coming home from a long day of work and then hoping on my steering wheel to play this game for another 8 hours worth. highly recommend!
0,0," very nice game but taking a loan and then repaying it can be annoying, other than that it is extremely good game i 100% would recommend"
0,0," i'm 16 and i've played this game on and off for the past 6 years or so. never fails to impress me. it's chill, and so fun. i just finished the first step for getting my driver's license, and this game has helped me in many ways. i don't even play with a steering wheel, yet it's just as educational. i also love listening to the radio stations of my home country. my parents drove me around a lot when i was a kid, and i have various memories with many cars and numerous radio stations. the nostalgia comes back to me every time. also, the game may be a bit old now, but the graphics are still very fresh and neat for their time. don't tell me you're a car/truck lover if you don't play this game!"
2,2, so good but please i need rest of scandinavia on the scandinavia dlc!!!!!!!!!!!
0,0, i really like this game because of her virginiti
0,0, this is really good destress game
0,0, brumm brumm
0,0," this is a game that me and my girlfriend play together.i love how you can just play this game and chill, listen to good music while you do missions.somewhat realistic in many ways. and if you do not like the realism, you can change the game-rules.you can also do convoys together with friends!love this game."
0,0, best game if you are interested in driving trucks. experience will be better if steering wheel is used with shifters.
0,0, i absolutely love this game takes you away from the real world for abit
0,0," i put casiopea on, pour myself a drink, and i drive my purple truck from bergen to sofia. nothing happens, i don't have to think, i don't have to make important decisions, i'm just driving, and then it's 2 am and i've been driving for 5 hours straight. good game!"
0,2, goated with the sauce
0,0, i love hogging every lane
0,0," great game, gives me peace of mind playing this after work. great relaxation game. bought it during the summer sale."
2,0," a legendary game that entertained millions of players with rather simple gameplay.very good experience with a wheel even if it's 10+ years old, the multiplayer mod is also a big upgrade but the dlcs are simply too many.i hope that the developers make ets3 or a combined ets + ats massive open world game with modern tech at some point."
2,0," best simulator game ever, but please release heart of russia dlc."
0,2, fun relaxing game to play when you're bored
1,1, buggy and sometimes unplayable experience while running nativily in the linux port
0,0, one of the best sims on steam.... and the internet!
0,0," this game provides a relaxing challenge and a whole lot more. keep your rig in the lane, don't forget to make your turn, and don't crash. or go ahead and break all those rules, the resulting chaos is always kind of fun to figure out too.there are plenty of aids you can turn on and off that make the game no more difficult than an arcade racing game. you can also dial up the experience to be pretty darn immersive and challenging. it's totally up to you, and i think that's what i enjoy about it so much."
