True_Label,Predicted_Label,Text
0,2, game goodpatch
0,0," cities: skylines is a true masterpiece of urban simulation gaming. its stunning visuals, attention to detail, and immersive gameplay combine to create an unparalleled city-building experience. whether you're a fan of the genre or a newcomer, this game is an absolute must-play. get ready to unleash your creativity and embark on an incredible journey of urban planning and management."
2,0, doesn't scale well with 4k display with resolutions even as as low as 1280 x 720. hopefully part 2 will be more 4k friendly and have options in the ui to adjust size of text in game play. i'm glad i didn't pay for all the dlc....
0,0, good if you are into civil engineering stuff
0,2, pay to enjoy later game
0,0," very fun and engaging city builder, the dlcs are a little on the expensive side. i reccommend you play through to the megalopolis accomplishment for at least one city before deciding to buy any. either way, great game so far"
0,0, good game but ♥♥♥♥ their dlc monetization
0,0, very realistic
0,2, really cool city builder/simulation. biggest downside is the shear amount of content locked behind a dlc paywall. some of the dlc's like natural disasters should've been included with the base game.
0,2, will boost your creativity
0,0, a great city builder/manager game!
0,0," this game still receives a big positive review, but i'm a bit disapointed with 2 things:- the last patch/update, it made the best mods uncompatible with the game, some of them like 81 tiles were essential.- the dlc policy is becoming insanebut this is still by far the best city building game existing and without a doubt you should have it"
0,0, best game ever. excited to see city: skylines 2 soon!
0,0, really awesome game.
0,0, i'm not good at it and its still fun
0,0," huh, apparently i never made a review for this game... i love it... i just dont love how paradox is milking it, especially for a long time. now they are finally coming out with a cs2 great i guess, but feels a bit late. not to mention i feel like cs2 is gonna blow and they will most likely milk that game too regardless how well it does. cs1 i recommend buy with a select few dlc's and some mods... as for cs2 i recommend waiting and saving your money"
0,2," take in small doses, you'll lose track of time / life."
0,0," love this game, but the dlc spam is getting out of hand"
0,0, game
0,0, very entertaining
0,0," love it, but the road construction is always confusing lmao"
0,0, fantastic game.
0,2," massive time sink that's really well done. some minor annoyances, but all games have these."
0,0, very fun optimization and city planning game.
0,2, gives me hours of enjoyment and relaxation
0,2, this is what sim city should have been...
1,0, the game fun but it need more alive style like theotown has many more stuff to put into without any micro transaction i hope they gave a discount to the exspansion pack so i can (maybe) baught it
0,0, this is a great game i've built many great cities and l'l be making sure i get citieskylines 2
0,2," circle of life1: build a functional city with beaches, theme parks and sports arenas, etc with happy people and a great quality of life2: blow it up with 70 meteor strikes3: do it all over again"
0,0, very addictive game
0,0," played a ton on the playstation and wee bit on pc. the gist is it scratches a city sim itch every once in a while, but is altogether a very bland affair. the cookie cutter principles are getting stale real quick: zone residential, until demand for industrial and commerce kicks in, fulfill that need - rinse and repeat. pepper over some simple public services needs and that's that.don't expect this game to go deep and don't rely the game's mechanics to be smart/logical, particularly traffic. your homies don't even know how to use a roundabout proper. which is also where the fun with this game stops. it just stumbles way too often over it's own mechanics. you are basically relegated to fixing arguably non-sense issues and micro-manage instead of planning/designing a city. micro-management should be opt-in, to nerd out if you wanted to, instead though it's the sole purpose of this game.all in all cities: skylines is ""meh"". no more, no less."
0,0, best city sim i've ever played!
0,1, this games is kind of cool put beside from that if you download one wrong mod the game gives your computer the blue screen of death!!!!!!!!!!!!! this game is very very bad and should not be played because it does damage to your computer
0,0, decent.
0,0," awesome game, i have the main dlc's and i do recommend parklife and industries. really improves the game. vanilla (no dlc's) is also great so, i hope you buy it if you like management/builder games."
0,2, don't skip out on the traffic management mods.
1,0," i bought this game, due to some error or i don't remember but i think one point it wasn't available to play thegame, so i deleted it. know i have to pay one more time to play this game?"
0,0, great game especially if you have all dlcs only it can be laggy sometimes but im sure if your have a better pc than me its no issue
0,2, built a zone for rich elderly folks and put a cemetery in clear view of the eldercare centers. under the power lines and pollution maxed. i didn't want them to be happy.
0,0, its very good you should get it now
2,2, cool to build the city but would of been nicer if some things were automated like garbage disposal
0,0, this game is so much better than civilization 6
0,2, everything sim city should have been.
0,0, this is the most relaxing game i've ever played.
0,0," fun and addictive, although dlc is quite overpriced imo."
0,0," super fun! been watching youtube lets plays for years and supplementing my desire to play this with boring mobile games. glad to say that, as a mac user, i finally have a computer capable of running it and decided to dive in. best decision i've made in a while!"
0,0, u expect to play for an hour but u end up missing work and divorcing your wife.
0,0, epic game
0,0, very cool i think cause you can make your dream city.
0,0," cities skylines is an incredible game that has the power to transport you into a world of limitless creativity and unexpected adventures. recently, an unexpected twist occurred when my mischievous dog ""thanos snapped"" me out of nowhere. amidst the chaos, i found solace in the virtual realm, where i could build and save my friend from peril using nothing but a virtual whopper. the game's immersive gameplay and endless possibilities allowed me to overcome real-life obstacles in the most unexpected and enjoyable way."
0,0," as someone who has played every iteration of the simcity series, cities: skylines is an absolute must have. it's simple, intuitive, and everything is just done extremely well. whether you've got a big brain and love micromanaging the most complex of systems or who's more of a simpleton and likes everything streamlined for them, you'll find so much fun in this game. the devs are still providing new, official content--all while the modding community is nearly endless with their ideas and submissions. and with the frequent sales and bundle offerings of this game, there's absolutely no excuse for anyone to not include cities: skylines in their library."
0,0, its fun and easy!
0,0, it's so relaxing. such a good game if you have adhd/add. good afk game.
0,0, i've genuinely become interested in going to college for architecture/city planning because of this game. i'm not a big fan of school x'd.10/10 would get student debt to be a city planner!
0,0, addictive to the point that 4 or 5 hours will fly past in what seems like minutes.
0,0," its a good game, but i'm just terrible at it....."
2,0, the game fun but it need more alive style like theotown has many more stuff to put into without any micro transaction i hope they gave a discount to the exspansion pack so i can (maybe) baught it
0,0," really good relaxing game, stayed up late nights and good before hitting the hay."
0,0," great game, very deep , but still very accessable. you can turn on and turn off dlc at will.cant wait for the seque"
0,0," good game, great to make the hours fly by"
0,2, slow start and you get to see your city grow
0,0, i like it
0,0, lots of great mod support and the base game itself is very fun and relaxing for those who like city builders.
0,0," best city builder on the market, hands down."
